book_id,title,author,category_id
1,The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,1
2,"Black Holes (L) : The Reith Lectures [Paperback] Hawking, Stephen",Stephen Hawking,1
3,The Kite Runner,Khaled Hosseini,1
4,Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,1
5,"The Science of Storytelling: Why Stories Make Us Human, and How to Tell Them Better",Will Storr,1
6,Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling,1
7,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,1
8,Desperately Seeking Shah Rukh : India's Lonely Young Women and the Search for Intimacy and Independence,Shrayana Bhattacharya,1
9,Save the Cat!: The Last Book on Screenwriting You'll Ever Need,Blake Snyder,1
10,Screenplay,Syd Field,1
11,One Day,David Nicholls,1
12,SACH KAHUN TOH: AN AUTOBIOGRAPHY,NEENA GUPTA,1
13,A PRINCESS REMEMBERS (PB),Maharani Gayatri,1
14,The Anatomy of Story,John Truby,1
15,Studio Ghibli: The Complete Works,Studio Ghibli,1
16,"Story: Style, Structure, Substance, and the Principles of Screenwriting",Robert McKee,1
17,Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,1
18,BRUCE LEE,Matthew Polly,1
19,JOURNEYS IN THE WILD,Sir David Attenborough,1
20,Speaking Of Films (The Penguin Ray Library),Satyajit Ray,1
21,Jadunama: Javed Akhtar Ek Safar (Hindi),Arvind Mandloi,1
22,"Satyajit Ray Miscellany: On Life, Cinema",Satyajit Ray,1
23,Unscripted: Conversations on Life and Ci: Conversations on Life and Cinema,Abhijat Joshi,1
24,"FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE � THE COMPLETE SCREENPLAY [Hardcover] Rowling, J.K. and Kloves, Steve",J.K. Rowling,1
25,Conversations with Mani Ratnam (PB),Baradwaj Rangan,1
26,Hitchcock,Francois Truffaut,1
27,Indian Cinema: A Very Short Introduction (Very Short Introductions),Ashish Rajadhyaksha,1
28,Basu Chatterji And Middle-of-the-Road Ci: And Middle-of-the-Road Cinema,Anirudha Bhattacharjee,1
29,Changing The Lens: Exploring The Depths Of Film And Philosophy,Dr Ruplekha Khullar & Sulagna Pal,1
30,This Life at Play: Memoirs,Girish Karnad,1
31,The Supernatural Quiz Book: 500 Questions and Answers on Supernatural: 500 Questions and Answers on Supernatural Season 1,Light Bulb Quizzes,1
